scenario,model,satisfied_alpha,unsatisfied_alpha,satisfied_active(CI_2.5<true_value<CI_97.5),unsatisfied_active,satisfied_inactive (CI_2.5<0<CI_97.5),unsatisfied_inactive,TP,TN,FP,FN,Accuracy,F1
scenario_1,normal,1,0,6,0,4,0,5,5,0,0,1.0,1.0
scenario_1,laplace,1,0,5,1,4,0,5,5,0,0,1.0,1.0
scenario_1,cauchy,1,0,6,0,4,0,5,5,0,0,1.0,1.0
scenario_1,horseshoe,1,0,6,0,4,0,5,5,0,0,1.0,1.0
scenario_1,horseshoe_regularised,1,0,3,3,4,0,5,5,0,0,1.0,1.0
scenario_2,normal,1,0,2,4,2,2,54,45,1,0,0.99,0.9908256880733944
scenario_2,laplace,1,0,6,0,4,0,54,43,3,0,0.97,0.972972972972973
scenario_2,cauchy,1,0,6,0,4,0,54,44,2,0,0.98,0.9818181818181818
scenario_2,horseshoe,1,0,6,0,4,0,53,43,3,1,0.96,0.9636363636363636
scenario_2,horseshoe_regularised,1,0,3,3,4,0,53,43,3,1,0.96,0.9636363636363636
scenario_3,normal,1,0,5,1,4,0,452,480,39,29,0.932,0.9300411522633745
scenario_3,laplace,1,0,6,0,4,0,452,480,39,29,0.932,0.9300411522633745
scenario_3,cauchy,1,0,6,0,4,0,452,480,39,29,0.932,0.9300411522633745
scenario_3,horseshoe,1,0,6,0,4,0,450,480,39,31,0.93,0.9278350515463919
scenario_3,horseshoe_regularised,1,0,5,1,4,0,450,480,39,31,0.93,0.9278350515463919
scenario_4,normal,1,0,5,1,3,1,4183,5134,333,350,0.9317,0.9245220466349872
scenario_4,laplace,1,0,6,0,3,1,4185,5133,334,348,0.9318,0.9246575342465754
scenario_4,cauchy,1,0,6,0,3,1,4183,5134,333,350,0.9317,0.9245220466349872
scenario_4,horseshoe,1,0,6,0,3,1,4181,5134,333,352,0.9315,0.9242842931358463
scenario_4,horseshoe_regularised,1,0,6,0,3,1,4179,5132,335,354,0.9311,0.9238421576213109
scenario_5,normal,1,0,2,0,7,1,83,637,57,223,0.72,0.3721973094170403
scenario_5,laplace,1,0,2,0,8,0,80,644,50,226,0.724,0.3669724770642202
scenario_5,cauchy,1,0,2,0,8,0,80,640,54,226,0.72,0.36363636363636365
scenario_5,horseshoe,1,0,2,0,8,0,80,640,54,226,0.72,0.36363636363636365
scenario_5,horseshoe_regularised,1,0,2,0,8,0,79,646,48,227,0.725,0.3648960739030024
scenario_6,normal,0,1,8,0,1,1,421,520,30,29,0.941,0.9345172031076582
scenario_6,laplace,1,0,8,0,1,1,421,522,28,29,0.943,0.9365962180200224
scenario_6,cauchy,1,0,8,0,1,1,421,522,28,29,0.943,0.9365962180200224
scenario_6,horseshoe,1,0,8,0,2,0,421,522,28,29,0.943,0.9365962180200224
scenario_6,horseshoe_regularised,1,0,8,0,2,0,422,523,27,28,0.945,0.9388209121245829
scenario_7,normal,0,1,5,0,4,1,387,536,33,44,0.923,0.9095182138660399
scenario_7,laplace,0,1,5,0,4,1,387,538,31,44,0.925,0.9116607773851589
scenario_7,cauchy,0,1,5,0,4,1,389,537,32,42,0.926,0.9131455399061033
scenario_7,horseshoe,1,0,5,0,5,0,389,537,32,42,0.926,0.9131455399061033
scenario_7,horseshoe_regularised,1,0,5,0,5,0,391,537,32,40,0.928,0.9156908665105387
scenario_8,normal,1,0,3,2,5,0,0,728,0,272,0.728,0.0
scenario_8,laplace,1,0,4,1,5,0,0,728,0,272,0.728,0.0
scenario_8,cauchy,1,0,4,1,5,0,0,728,0,272,0.728,0.0
scenario_8,horseshoe,1,0,5,0,5,0,0,728,0,272,0.728,0.0
scenario_8,horseshoe_regularised,1,0,4,1,5,0,0,728,0,272,0.728,0.0
scenario_9,normal,1,0,5,0,5,0,112,619,66,203,0.731,0.4543610547667343
scenario_9,laplace,1,0,5,0,5,0,105,622,63,210,0.727,0.43478260869565216
scenario_9,cauchy,1,0,5,0,5,0,110,623,62,205,0.733,0.4517453798767967
scenario_9,horseshoe,1,0,5,0,5,0,110,625,60,205,0.735,0.4536082474226804
scenario_9,horseshoe_regularised,1,0,5,0,5,0,107,625,60,208,0.732,0.4439834024896266
scenario_10,normal,0,1,5,0,4,1,447,500,28,25,0.947,0.9440337909186906
scenario_10,laplace,1,0,5,0,4,1,446,500,28,26,0.946,0.9429175475687104
scenario_10,cauchy,1,0,5,0,4,1,445,501,27,27,0.946,0.9427966101694916
scenario_10,horseshoe,0,1,5,0,5,0,445,501,27,27,0.946,0.9427966101694916
scenario_10,horseshoe_regularised,1,0,4,1,5,0,444,501,27,28,0.945,0.941675503711559
scenario_11,normal,1,0,5,0,5,0,431,504,32,33,0.935,0.9298813376483279
scenario_11,laplace,1,0,5,0,5,0,432,504,32,32,0.936,0.9310344827586207
scenario_11,cauchy,1,0,4,1,5,0,432,506,30,32,0.938,0.9330453563714903
scenario_11,horseshoe,1,0,4,1,5,0,433,507,29,31,0.94,0.9352051835853131
scenario_11,horseshoe_regularised,1,0,4,1,5,0,432,507,29,32,0.939,0.9340540540540541
